credit_score,income_monthly,debt_to_income,loan_amount,payment_history,employment_years,previous_defaults,default_risk
674.8357076505616,7099.033154879004,0.3849745423879394,22865.639066206,0.8671329588229217,5.972369583123878,0,0
643.0867849414408,6386.950524369153,0.14620689089816913,11070.667540329445,0.9424186706148351,1.1012564893551535,1,0
682.3844269050346,5089.445554880262,0.3441743737786356,18201.851637737687,0.7013282600836099,0.8992850854315995,0,0
726.1514928204012,4029.594833441639,0.1776986691539204,21505.53669595871,0.6968242346020044,6.478360989403136,1,0
638.2923312638331,6047.334970420385,0.6657646470064555,20919.17258161252,0.6222914892337579,6.014040544270713,2,1
638.293152152541,5590.228078132624,0.7633816181751296,33465.168319902485,0.579945779099258,4.885209269851928,2,1
728.9606407753696,6342.789830041598,0.15062153268055703,21749.000122839538,0.6565434615559042,2.209102990489856,0,0
688.3717364576454,5952.757702522954,0.768580645104191,14979.727015789947,0.9318925013608259,3.5841781186518493,1,0
626.5262807032524,6574.329072979002,0.4658036195357217,19522.678764554636,0.7214424969016232,4.474506504626992,1,1
677.1280021792983,4197.147182659148,0.30969597456771175,11118.768332667742,1.0027228928462193,1.8082120628517733,0,0
626.8291153593768,6976.0910984514885,0.15380345269331447,19597.001253516195,0.9069427497505124,3.521942683953534,1,0
626.7135123214872,5296.3994070386,0.4504369876492925,15834.719714996207,0.5062991573123893,6.304660676353359,1,1
662.0981135783018,8112.891308937898,0.6561608811435241,24576.951377800808,1.030995116844338,7.854610728578432,0,0
554.33598776711,3966.218272865648,0.5949605340866888,17252.298627022326,1.062159729118342,4.161130494682899,0,1
563.7541083743483,7603.945704747874,0.13515820802478165,19416.170421023766,0.7012274650330294,6.512976708632197,0,1
621.8856235379513,5296.866175193972,0.15103128475753247,16822.21079297798,0.9840383085789983,1.1718798588250654,1,0
599.3584439832788,4022.8729945783275,0.38201129784284604,28694.256759266656,0.7287003525181602,6.318902482227223,0,1
665.7123666297637,4274.171248918517,0.3067033458335603,18393.786169410443,0.9195340753496671,3.392103170545038,2,0
604.5987962239394,4519.47903770852,0.2626690261392335,29162.78521739601,0.647100318609007,5.6146912334159405,1,1
579.3848149332355,5636.248919602875,0.29670314923609953,24070.75881059133,0.5413787094930846,4.504495163520581,1,1
723.2824384460777,5784.253232053249,0.6624379203078192,22410.33363667693,0.8234365620774062,7.640828019567668,0,0
638.7111849756732,4139.449994092131,0.7504596375422977,21843.665736587598,0.8752542107450327,3.2511287033201635,1,1
653.3764102343962,4963.468111608526,0.3835718861692965,21968.986491081258,0.8204640612770793,6.255212595123663,0,0
578.7625906893271,8213.405537917795,0.734277701492748,10361.63710327195,0.6631938883554881,4.440985073406933,0,1
622.7808637737409,7591.3147551510665,0.3250469908735174,18605.583029246216,0.8200201875737726,4.6833890439806725,1,1
655.5461294854933,5654.485504511048,0.43350589044065413,24225.78985592161,0.9538589505161468,4.6322922136815805,0,0
592.4503211288849,5057.0052172523,0.2582202984711998,19755.514082629474,0.8910213939754926,3.308653791011774,1,1
668.7849009172836,5180.046990077392,0.5483332295230908,12974.050765982125,0.9365002061198427,4.971802068186657,0,0
619.9680655040597,5920.276959095625,0.7852867806223662,19737.977747112654,0.7659769599091535,4.874703555756357,0,1
635.4153125103362,3465.811152202392,0.522445167230365,28520.527581277456,1.134343582943232,5.482480496813459,0,0
619.9146693885301,4613.9351938649825,0.35046985887948423,26234.4585776736,0.6647653326890439,5.169010291385725,2,1
742.6139092254468,2497.123889183616,0.55347221219337,19689.97995316984,0.9975120594173438,6.5959890992244725,1,0
649.3251387631033,5598.834683907919,0.1860444749257713,24757.246385290433,1.1363782185919924,6.847017232094737,1,0
597.114453552205,5970.793909554111,0.722061356185779,18167.464898159742,0.9961816185497792,2.8987533563443977,0,1
691.1272456051595,4275.220306550939,0.4521587655458855,11480.642065866405,0.859495154587034,6.737545001181542,0,0
588.9578175014489,7360.980144935049,0.41454481942774946,15377.67005935223,0.7943405906674041,2.627327145780291,2,1
660.4431797502377,3161.3515054964882,0.5101053519174635,27814.44384254099,1.1072175302092513,6.17571177627547,0,0
552.0164938060112,2803.43767968527,0.5373487039525817,18630.03459085348,0.6154050149476654,6.239477569405738,0,1
583.5906975550785,5336.677727839958,0.15024306435855914,18783.08010312491,0.7059751479240712,1.1773662166749919,1,1
659.8430617934562,6570.647453918232,0.5778320548563818,18500.809018625598,0.8204884469016558,5.185958493058819,0,0
686.9233289997705,7525.891537186802,0.2693521762208707,29520.682947865032,1.1475307515023996,4.063007773279368,1,0
658.5684140594985,4311.67360569659,0.5997668427546129,28129.794576810316,0.9759535272081792,3.48246948412925,1,1
